21;HostName;TaskName;Next Run Time;Status;Logon Mode;Last Run Time;Last Result;Author;Task To Run;Start In;Comment;Scheduled Task State;Idle Time;Power Management;Run As User;Delete Task If Not Rescheduled;Stop Task If Runs X Hours and X Mins;Schedule;Schedule Type;Start Time;Start Date;End Date;Days;Months;Repeat: Every;Repeat: Until: Time;Repeat: Until: Duration;Repeat: Stop If Still Running
42;fcap09.falcon.local;\bertrandt_daily_out;23.7.2014 13:30:00;Ready;Interactive/Background;22.7.2014 13:30:00;0;admin-lr;D:\Apps\Automation\Bertrandt\bertrandt_daily_out.bat ;D:\Apps\Automation\Bertrandt;Sendet die Datei Bertrandt*.xlsx jeden Wochentag an Bertrandt;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;13:30:00;12.9.2011;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
43;fcap09.falcon.local;\Bertrandt_Start_DMS;23.7.2014 20:15:00;Ready;Interactive/Background;22.7.2014 20:15:00;0;admin-zj;D:\Apps\Automation\Aktenscanning_Bertrandt\Start_Bertrandt.vbs ;D:\Apps\Automation\Aktenscanning_Bertrandt;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;20:15:00;1.9.2011;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
44;fcap09.falcon.local;\Bertrandt_WN990_WN991_Anzahl_tÑglich;23.7.2014 15:00:00;Ready;Interactive/Background;22.7.2014 15:00:00;0;admin-zj;D:\Apps\Automation\Bertrandt_WN990_WN991_Anzahl\WN990_WN991_Skript_Anzahl.vbs ;D:\Apps\Automation\Bertrandt_WN990_WN991_Anzahl\;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;15:00:00;1.9.2011;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
45;fcap09.falcon.local;\Bertrandt_WN990_WN991_Skript_AktenScanning;23.7.2014 20:35:00;Ready;Interactive/Background;22.7.2014 20:35:00;0;admin-zj;D:\Apps\Automation\Bertrandt_WN990_WN991\WN990_Skript_B_AS.vbs ;D:\Apps\Automation\Bertrandt_WN990_WN991;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;20:35:00;1.9.2011;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
46;fcap09.falcon.local;\CIC_DAILY_VORAB_ESSEN;24.7.2014 4:45:00;Ready;Interactive/Background;23.7.2014 4:45:00;0;admin-zj;D:\Apps\Automation\CIC\Vorab_Kampagne\CIC_DAILY_VORAB_ESSEN.vbs ;D:\Apps\Automation\CIC\Vorab_Kampagne;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;4:45:00;24.4.2013;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
47;fcap09.falcon.local;\CIC_EXPORT_DE_WrongNumbers;24.7.2014 2:45:00;Ready;Interactive/Background;23.7.2014 2:45:00;0;admin-zj;D:\Apps\Automation\CIC\CIC_EXPORT_DE_WrongNumbers.vbs ;D:\Apps\Automation\CIC;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;2:45:00;8.3.2013;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
48;fcap09.falcon.local;\CIC_Export_to_Excel;Disabled;Unknown;Interactive/Background;4.7.2013 6:30:00;0;admin-zj;D:\Apps\Automation\CIC_Export_to_Excel.vbs ;D:\Apps\Automation;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj03;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;6:30:00;14.10.2011;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
49;fcap09.falcon.local;\CIC_Export_to_Excel_Version_2013;24.7.2014 5:30:00;Ready;Interactive/Background;23.7.2014 5:30:00;0;admin-zj;D:\Apps\Automation\CIC_Export_to_Excel_Version_2013.vbs ;D:\Apps\Automation;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;5:30:00;19.12.2012;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
50;fcap09.falcon.local;\CIC_Handle_Results;23.7.2014 23:00:00;Ready;Interactive/Background;22.7.2014 23:00:00;0;admin-dge;D:\Apps\Automation\CIC_Handle_Results\CIC_Handle_Phonenumber_Results.exe ;D:\Apps\Automation\CIC_Handle_Results;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;23:00:00;11.7.2014;N/A;MON, TUE, WED, THU, FRI, SAT;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
51;fcap09.falcon.local;\CIC_IKA_Export;Disabled;Unknown;Interactive/Background;3.10.2011 23:00:00;0;admin-lr;D:\Apps\Automation\CIC_Import_Kampagne_1_bis_11.bat ;D:\Apps\Automation;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-lr;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;23:00:00;9.3.2010;N/A;MON, TUE, WED, THU, FRI, SAT;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
52;fcap09.falcon.local;\Copy_DB_locally;Disabled;Unknown;Interactive/Background;1.9.2011 18:36:00;0;admin-ar;F:\Data\Ikaros_Backup\IKA-PROD\Copy of copy.cmd ;F:\Data\Ikaros_Backup\IKA-PROD;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ar;Disabled;72:00:00;Scheduling data is not available in this format.;Daily ;4:00:00;1.9.2011;N/A;Every 1 day(s);N/A;Disabled;Disabled;Disabled;Disabled
53;fcap09.falcon.local;\DB2011_Segmentierung;Disabled;Unknown;Interactive/Background;5.9.2012 0:20:00;0;admin-ar;D:\Apps\Automation\AUTO_WV\Klarna\WV_Segmentierung.bat ;D:\Apps\Automation\AUTO_WV\Klarna;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ar;Disabled;12:00:00;Scheduling data is not available in this format.;Daily ;3:05:00;11.1.2013;11.1.2013;Every 1 day(s);N/A;Disabled;Disabled;Disabled;Disabled
54;fcap09.falcon.local;\Deltavista_Einmeldungen;Disabled;Unknown;Interactive/Background;8.3.2014 22:10:00;0;admin-zj;D:\Apps\Automation\DELTAVISTA\Deltavista_Einmeldungen.bat ;D:\Apps\Automation\DELTAVISTA;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Disabled;72:00:00;Scheduling data is not available in this format.;Monthly;22:10:00;1.7.2012;N/A;08;Every month;Disabled;Disabled;Disabled;Disabled
55;fcap09.falcon.local;\export_akte_fcap10_start;23.7.2014 20:10:00;Ready;Interactive/Background;22.7.2014 20:10:00;0;admin-zj;D:\Apps\Automation\FCAP10\export_akte_fcap10_start.bat ;D:\Apps\Automation\FCAP10;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj03;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;20:10:00;25.7.2013;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
